batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
16,16000,0.024500909718301,0.0113043478260869,0.0213798890188051,0.0119047619047619,0.0023809523809523,0.0072993713424459,0.0211312396025771,0.0089171974522293,0.0176131263283141,0.267515923566879,42,107,157,2711,59868,107,42,0.267515923566879,865
17,17000,0.035434282493106,0.0225490196078431,0.0327045110088742,0.016025641025641,0.0038461538461538,0.0069343626650667,0.0288807152443516,0.0162337662337662,0.024002902477199,0.3376623376623376,52,134,154,2865,59868,134,52,0.33766233766233766,917
18,18000,0.0310496050274214,0.0214876033057851,0.0334186864783118,0.0058479532163742,0.0017543859649122,0.0041164800528311,0.0229794131553445,0.0151685393258426,0.0240353956566691,0.3202247191011236,57,142,178,3042,59868,142,57,0.3202247191011236,974
19,19000,0.036391516196222,0.0256,0.0347603832044163,0.0169491525423728,0.0050847457627118,0.0124208240758947,0.0301572800246073,0.0190217391304347,0.0275971550055968,0.3206521739130434,59,156,184,3226,59868,156,59,0.32065217391304346,1033
20,20000,0.0477712278928498,0.0238095238095238,0.0399669806078276,0.015432098765432,0.0037037037037037,0.0150973062827038,0.0380694891546245,0.0177777777777777,0.0325060783102905,0.3,54,142,180,3405,59868,142,54,0.3,1087
21,21000,0.0334576866877287,0.0205357142857142,0.028341295608771,0.0,0.0,0.0,0.0208181161612534,0.0127777777777777,0.0176345839343464,0.3777777777777777,68,179,180,180,59868,179,68,0.37777777777777777,68
22,22000,0.0365235402120648,0.021311475409836,0.0302109817678728,0.0119047619047619,0.0035714285714285,0.0049449811837906,0.0287783065872953,0.0157303370786516,0.0222621276515323,0.3146067415730337,56,154,178,357,59868,154,56,0.3146067415730337,124
23,23000,0.0486504722724814,0.0245283018867924,0.0375688398855515,0.0,0.0,0.0,0.0343796670725535,0.0173333333333333,0.0265486468524564,0.2933333333333333,44,112,150,506,59868,112,44,0.29333333333333333,168
24,24000,0.0405423223101932,0.025438596491228,0.0409393127852456,0.009009009009009,0.0027027027027027,0.0126832088114258,0.032815616401956,0.0198675496688741,0.0340156316790778,0.2450331125827814,37,98,151,656,59868,98,37,0.24503311258278146,205
25,25000,0.0404756354756354,0.0218181818181818,0.0388712789180496,0.0144927536231884,0.0043478260869565,0.0096548449227999,0.0328140164678626,0.0166666666666666,0.030256176586117,0.2948717948717949,46,126,156,811,59868,126,46,0.2948717948717949,251
26,26000,0.0220711962237385,0.0110169491525423,0.0144598206821273,0.010752688172043,0.0032258064516129,0.0104971051380662,0.0181725990059323,0.0083333333333333,0.0130948853280618,0.3444444444444444,62,173,180,990,59868,173,62,0.34444444444444444,313
27,27000,0.0368339387058438,0.0276595744680851,0.0349964437995463,0.0092592592592592,0.0027777777777777,0.0082244975268295,0.029197873628328,0.0207692307692307,0.0275826740624863,0.2769230769230769,36,97,130,1119,59868,97,36,0.27692307692307694,349
28,28000,0.03203577505637,0.0184210526315789,0.0315010578189545,0.0059523809523809,0.0011904761904761,0.0024331237808153,0.0209700927092231,0.0111111111111111,0.0191692070148954,0.4242424242424242,84,221,198,1316,59868,221,84,0.42424242424242425,433
29,29000,0.0144097222222222,0.0078125,0.0120723425186677,0.0056497175141242,0.0016949152542372,0.0050183374739977,0.0116458704693998,0.0058823529411764,0.0098467473441461,0.3155080213903743,59,151,187,1502,59868,151,59,0.3155080213903743,492
