batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,batch_emissions_mg,update_emissions_mg,updated
343,343000,incremental,0.029389030158326314,0.017341040462427744,0.027587016118843226,0.15028901734104047,0.038239821306805324,0.01184971098265896,0.030599587173185124,0.1907514450867052,0.0600196848751762,158.08041246407473,0.0,False
344,344000,incremental,0.029072551448631967,0.01971830985915493,0.026083849033916136,0.16901408450704225,0.04387924765395598,0.01654929577464789,0.03250277139467997,0.21830985915492956,0.058803982540519405,150.92229519886314,0.0,False
345,345000,incremental,0.03638717384394262,0.021022727272727273,0.03298606539610867,0.16477272727272727,0.04467646977528401,0.014204545454545454,0.0357705925851562,0.21022727272727273,0.06873936511720603,152.8059309205479,0.0,False
346,346000,incremental,0.02316197030482745,0.013756613756613757,0.021762464017849092,0.1111111111111111,0.046059082011462964,0.013227513227513227,0.030173884691810062,0.19047619047619047,0.04718268155783512,152.67582045808138,0.0,False
347,347000,incremental,0.02205455620759447,0.018000000000000002,0.023426293039098357,0.13333333333333333,0.04444242017827577,0.017333333333333336,0.03188579772447473,0.23333333333333334,0.05759773422312122,152.89632528584644,0.0,False
348,348000,incremental,0.015632295517113017,0.011842105263157895,0.015925689067556786,0.09868421052631579,0.03900864795525035,0.012828947368421053,0.024380533813882065,0.21052631578947367,0.04314289376005198,151.91816022740167,0.0,False
349,349000,incremental,0.02852416151071571,0.020394736842105268,0.03340225364132709,0.17105263157894737,0.052072024953028095,0.017763157894736842,0.0408433848017361,0.24342105263157895,0.08079154273319786,162.37199038372785,0.0,False
350,350000,incremental,0.02603745753620597,0.01648936170212766,0.02238654188093589,0.14361702127659576,0.054485418280787484,0.015159574468085104,0.032396930435576655,0.21808510638297873,0.04969119431955377,158.87137705738326,0.0,False
351,351000,incremental,0.026574561237152117,0.01647058823529412,0.023177546800528703,0.1411764705882353,0.043743718270450475,0.012941176470588237,0.029149972476219897,0.2,0.04536576348336501,152.6813657503623,0.0,False
352,352000,incremental,0.026235036099166532,0.01956521739130435,0.028380733536335002,0.15942028985507245,0.04296974213562116,0.01594202898550725,0.034383504972762005,0.2391304347826087,0.06834319062579933,154.30654196248867,0.0,False
