batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained
394,394000,0.01651875901875902,0.0027272727272727275,0.007017826456951375,0.0,0.0,0.0,0.013977411477411479,0.002307692307692308,0.005938160848189625,0.07051282051282051,55,130,780,8119,59868
395,395000,0.02818666666666667,0.0036799999999999997,0.015721611778026955,0.0,0.0,0.0,0.02281951640759931,0.002979274611398964,0.012727988809931146,0.06606217616580311,51,174,772,8582,59868
396,396000,0.015279917822290705,0.002003081664098613,0.0065892807420899,0.0,0.0,0.0,0.01287878787878788,0.0016883116883116883,0.005553822339761487,0.06233766233766234,48,131,770,9007,59868
397,397000,0.01988348530901722,0.0024316109422492403,0.01020402532807487,0.0,0.0,0.0,0.016354166666666666,0.002,0.00839281083234158,0.07625,61,164,800,9462,59868
398,398000,0.024787606196901547,0.0031484257871064476,0.01331569890633034,0.0028735632183908046,0.0008620689655172415,0.004045506258816866,0.021541081311196253,0.0028097062579821204,0.01194233703262464,0.05363984674329502,42,135,783,9895,59868
399,399000,0.027735562310030396,0.003951367781155016,0.013934340678783231,0.0,0.0,0.0,0.02321882951653944,0.0033078880407124683,0.011665135072060262,0.058524173027989825,46,144,786,10337,59868
400,400000,0.026414058209774847,0.003624382207578254,0.013239925161141168,0.0,0.0,0.0,0.021492403932082214,0.002949061662198392,0.010772968596263659,0.07506702412868632,56,159,746,10763,59868
401,401000,0.018268268268268266,0.0022522522522522522,0.007941894977461101,0.0,0.0,0.0,0.015598290598290598,0.0019230769230769232,0.006781156480755247,0.06923076923076923,54,136,780,780,59868
402,402000,0.019054878048780487,0.0025914634146341465,0.009038234464420274,0.008771929824561403,0.0008771929824561404,0.003124624448315984,0.01753246753246753,0.002337662337662338,0.008162712981516522,0.06493506493506493,50,130,770,1491,59868
403,403000,0.022916666666666665,0.00265625,0.011356839869365561,0.0,0.0,0.0,0.018518518518518517,0.002146464646464647,0.009177244338881263,0.07323232323232323,58,168,792,2188,59868
404,404000,0.029134565998972777,0.004160246533127889,0.015179964126650578,0.002525252525252525,0.0007575757575757576,0.003555141863808761,0.024637217242851048,0.0035851472471190786,0.013215205434339284,0.06145966709346991,48,154,781,2840,59868
405,405000,0.022494887525562373,0.003067484662576687,0.011666479502668827,0.012396694214876033,0.0016528925619834713,0.003952638697917594,0.02091418714963346,0.002846054333764554,0.010459008949790561,0.05821474773609314,45,142,773,3438,59868
406,406000,0.010374414976599064,0.00171606864274571,0.005080808669125571,0.0,0.0,0.0,0.008647594278283486,0.0014304291287386217,0.004235108396501289,0.05851755526657997,45,143,769,4018,59868
407,407000,0.02665670154459392,0.0031390134529147985,0.011826691706984813,0.0,0.0,0.0,0.022488440521227403,0.002648171500630518,0.00997737295330749,0.05926860025220681,47,150,793,4588,59868
408,408000,0.009989484752891693,0.0014195583596214513,0.004301222353490578,0.01092896174863388,0.001639344262295082,0.005256286662785484,0.010141093474426807,0.0014550264550264552,0.004455346488059334,0.07407407407407407,56,142,756,5092,59868
409,409000,0.017569786535303774,0.0025078369905956114,0.009913692844679597,0.0,0.0,0.0,0.014633843093373119,0.0020887728459530026,0.008257096651312771,0.0639686684073107,49,153,766,5633,59868
410,410000,0.01633986928104575,0.002564102564102564,0.009846850998559895,0.010135135135135136,0.0013513513513513514,0.004854104302825434,0.015207562679819151,0.002342786683107275,0.008935720898721794,0.06041923551171394,49,166,811,6176,59868
411,411000,0.020394687193419365,0.002694136291600634,0.010895975847378043,0.0024330900243309003,0.0007299270072992701,0.001325122573265348,0.0171906001984127,0.00234375,0.009188675198219918,0.07161458333333333,55,167,768,6700,59868
