batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,n_unique_users,window_unique_users,window_unique_untrained_users,n_users_trained
51,51000,0.037037037037037035,0.004830917874396135,0.01756644820139,0.005546311702717692,0.0006655574043261231,0.0030955995502478816,0.013613861386138614,0.001732673267326733,0.0068028590437954305,0.6460396039603961,522,719,609,601,0.7438118811881188,808,8173,6272,65679
52,52000,0.01895943562610229,0.0026455026455026454,0.008780490050484402,0.00508130081300813,0.0006097560975609756,0.0025109722638798743,0.008185404339250493,0.0010650887573964497,0.003913266774729881,0.6437869822485207,544,758,600,656,0.7763313609467456,845,8920,6877,65679
53,53000,0.021043771043771045,0.0025252525252525255,0.012872443678575431,0.005785123966942148,0.0009917355371900829,0.0032847089165952185,0.0095475300954753,0.0013698630136986301,0.005648807899001298,0.6189290161892902,497,726,582,605,0.7534246575342466,803,9607,7419,65679
54,54000,0.026475694444444444,0.003645833333333334,0.011325568434962801,0.0013706140350877192,0.0003289473684210526,0.0006341577167506028,0.007395833333333332,0.0011250000000000001,0.0032000962891215305,0.63375,507,744,591,608,0.76,800,10293,7963,65679
55,55000,0.024839743589743588,0.0033653846153846156,0.013908691875411874,0.003908431044109435,0.0006700167504187605,0.0026087527353120805,0.009316770186335402,0.0013664596273291927,0.005528488562816126,0.6074534161490683,489,702,571,597,0.7416149068322981,805,10973,8494,65679
56,56000,0.034626436781609204,0.004310344827586207,0.019149200667509955,0.0026086956521739132,0.00034782608695652176,0.0020945780827625847,0.011813300289136722,0.001486988847583643,0.006997517908860962,0.5824039653035935,470,699,559,575,0.7125154894671624,807,11641,8999,65679
57,57000,0.021493212669683258,0.002714932126696833,0.012160998875484162,0.003703703703703704,0.0005555555555555557,0.0017729330617355023,0.008869908015768726,0.001182654402102497,0.004789703817107978,0.5663600525624178,431,693,518,540,0.709592641261498,761,12263,9473,65679
58,58000,0.01507537688442211,0.0015075376884422112,0.0052550136057757674,0.006873977086743045,0.0008183306055646482,0.0038366049140764326,0.008888888888888889,0.0009876543209876543,0.004185078160555652,0.6259259259259259,507,723,583,611,0.754320987654321,810,12938,10010,65679
59,59000,0.018608414239482198,0.0029126213592233015,0.010762147365324035,0.010016025641025642,0.0011217948717948717,0.003964885531251277,0.01214859437751004,0.001566265060240964,0.0056519167816356,0.6132530120481928,509,742,604,624,0.7518072289156627,830,13619,10554,65679
60,60000,0.013888888888888888,0.0027777777777777783,0.011842054644360086,0.0057273768613974796,0.0006872852233676976,0.004388338938489251,0.007936507936507938,0.0012531328320802004,0.006405886046845266,0.6090225563909775,486,687,565,582,0.7293233082706767,798,14271,11072,65679
61,61000,0.0025,0.0005,0.0009228784838978409,0.004511677282377919,0.0006369426751592357,0.002337882883169082,0.004025764895330112,0.0006038647342995169,0.001996094380929652,0.6376811594202898,528,744,608,628,0.7584541062801933,828,828,628,65679
62,62000,0.008090614886731391,0.0014563106796116507,0.006258776351178454,0.004458945078847199,0.0008156606851549756,0.0018490904861393014,0.005372405372405373,0.0009768009768009768,0.0029582422421808954,0.6007326007326007,492,740,587,613,0.7484737484737485,819,1628,1232,65679
63,63000,0.01015228426395939,0.0010152284263959391,0.0066774866841915175,0.009351432880844645,0.0010558069381598795,0.005596719374806114,0.009534883720930231,0.0010465116279069768,0.005844290491025794,0.6441860465116279,554,758,631,663,0.7709302325581395,860,2460,1881,65679
64,64000,0.029687500000000002,0.003645833333333334,0.018358695201089223,0.00380517503805175,0.00045662100456621014,0.0027633264084490497,0.009658421672555947,0.001177856301531213,0.006290194262615025,0.6360424028268551,540,762,608,657,0.773851590106007,849,3262,2515,65679
