batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
11,11000,0.0294926004228329,0.0042283298097251,0.013462602413772,0.0041666666666666,0.0004166666666666,0.0026288739732144,0.0209677419354838,0.0029453015427769,0.0098159056034861,0.2131837307152875,152,373,713,6012,65679,238,240,0.33660589060308554,1893
12,12000,0.0265959995209007,0.0041501976284584,0.0144972248990827,0.0020491803278688,0.0004098360655737,0.0008376327770019,0.018610101010101,0.0029333333333333,0.0100533042620324,0.2106666666666666,158,342,750,6470,65679,216,244,0.3253333333333333,2051
13,13000,0.0326149425287356,0.0043103448275862,0.0148090057671605,0.0044052863436123,0.0004405286343612,0.0017041973886984,0.0233478051133622,0.0030390738060781,0.010503952942398,0.2040520984081042,141,337,691,6874,65679,223,227,0.32850940665701883,2192
14,14000,0.0324074074074074,0.0047325102880658,0.0181125193981753,0.0111666666666666,0.0025,0.0067845398860583,0.0262147716229348,0.0040816326530612,0.0148099014646135,0.1778425655976676,122,332,686,7272,65679,226,200,0.2915451895043732,2314
15,15000,0.0266176470588235,0.0035294117647058,0.0116504883255813,0.0009478672985781,0.000473933649289,0.0005725654156374,0.0181014150943396,0.0025157232704402,0.0079752654733829,0.1949685534591195,124,352,636,7628,65679,217,211,0.33176100628930816,2438
16,16000,0.0144493717664449,0.0031042128603104,0.0081243841870727,0.0043668122270742,0.0004366812227074,0.0016893135687097,0.0110539215686274,0.0022058823529411,0.0059572795229475,0.2029411764705882,138,344,680,8004,65679,207,229,0.33676470588235297,2576
17,17000,0.018683409436834,0.0031963470319634,0.0099512651335749,0.0,0.0,0.0,0.0117239732569245,0.0020057306590257,0.0062444901554524,0.2363896848137535,165,400,698,8392,65679,275,260,0.37249283667621774,2741
18,18000,0.0303534303534303,0.0043659043659043,0.0188911275555825,0.0063559322033898,0.0008474576271186,0.002628285210511,0.0224546722454672,0.003207810320781,0.0135382254726859,0.1743375174337517,125,350,717,8762,65679,176,236,0.3291492329149233,2866
19,19000,0.0290600956539821,0.0037117903930131,0.0145779746019764,0.0,0.0,0.0,0.0188520167273708,0.0024079320113314,0.0094570996709705,0.2110481586402266,149,375,706,9143,65679,232,248,0.35127478753541075,3015
20,20000,0.0205383480825958,0.0026548672566371,0.0105305548222247,0.0102880658436214,0.0020576131687242,0.0056958873572821,0.0169544364508393,0.0024460431654676,0.008840160298511,0.1942446043165467,135,389,695,9494,65679,205,243,0.3496402877697842,3150
