batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,content_seed_emissions_mg
26,26000,0.022071196223738595,0.011016949152542373,0.014459820682127308,0.1016949152542373,0.021149448479956954,0.029569892473118278,0.008064516129032258,0.0221419851438966,0.08064516129032258,0.034050179211469536,0.024654080487413823,0.01,0.017105899552292286,0.09444444444444444,0.025593033509700176,62,0.34444444444444444,59868,36.66783970120293
27,27000,0.036833938705843804,0.027659574468085108,0.03499644379954639,0.22340425531914893,0.07226021614319486,0.05092592592592592,0.013888888888888888,0.02366660613106644,0.1388888888888889,0.022255291005291007,0.040736335166789615,0.023846153846153847,0.03185895029135194,0.2,0.05841269841269841,36,0.27692307692307694,59868,31.426696003628383
28,28000,0.03203577505637002,0.01842105263157895,0.0315010578189545,0.15789473684210525,0.0712719298245614,0.013888888888888886,0.0035714285714285718,0.006376204795094817,0.03571428571428571,0.005555555555555556,0.02433709607622651,0.012121212121212121,0.02084202926337766,0.10606060606060606,0.04339225589225589,84,0.42424242424242425,59868,35.39068809434726
29,29000,0.01440972222222222,0.0078125,0.01207234251866771,0.078125,0.022891865079365078,0.019774011299435026,0.005084745762711865,0.007907579917403547,0.05084745762711865,0.005696798493408663,0.016102198455139632,0.006951871657754011,0.010758326510782226,0.06951871657754011,0.017466683643154228,59,0.3155080213903743,59868,35.657912239971985
30,30000,0.041934713121153794,0.02372881355932204,0.032190851875342236,0.22033898305084745,0.05632902878665591,0.015151515151515152,0.004545454545454546,0.010284276203942061,0.045454545454545456,0.014520202020202018,0.03232769645813124,0.01684782608695652,0.02433305842799217,0.15760869565217392,0.04133238440303657,66,0.358695652173913,59868,33.219646984481045
31,31000,0.02920211347086684,0.023853211009174313,0.030604529577536385,0.1926605504587156,0.06762050385903597,0.01633986928104575,0.00392156862745098,0.01508967519162831,0.0392156862745098,0.022408963585434174,0.02510227313536137,0.0175,0.025659169742028188,0.14375,0.053209325396825394,51,0.31875,59868,31.52376154521325
32,32000,0.032898058731392066,0.023931623931623933,0.03454365333331244,0.1794871794871795,0.07043481210147877,0.005291005291005291,0.0015873015873015873,0.0024829562223426267,0.015873015873015872,0.0022675736961451248,0.023235590027256694,0.016111111111111114,0.023322409344473004,0.12222222222222222,0.04657627865961199,63,0.35,59868,32.74551171712888
33,33000,0.03693320163280045,0.019696969696969702,0.03207646039852695,0.18181818181818182,0.06357924482924483,0.017295597484276726,0.0056603773584905665,0.01917141543438573,0.05660377358490566,0.04043126684636118,0.031307293417277435,0.01567567567567568,0.028379339408800008,0.14594594594594595,0.05694766194766195,53,0.2864864864864865,59868,35.232599663092905
34,34000,0.036430879678006116,0.023809523809523808,0.031907646732295736,0.1984126984126984,0.06202443940539178,0.032407407407407406,0.008333333333333335,0.019145920790433518,0.08333333333333333,0.023032407407407404,0.03496779885233386,0.01818181818181818,0.027267019117073115,0.15656565656565657,0.04784551867885201,71,0.35858585858585856,59868,33.89659630956698
35,35000,0.03094029376205357,0.01926605504587156,0.02936030217349149,0.1834862385321101,0.05788553953691568,0.028735632183908042,0.006896551724137932,0.013834475427579854,0.06896551724137931,0.014224137931034482,0.030174602914553927,0.014970059880239521,0.023968098872516188,0.1437125748502994,0.0427216994582264,58,0.3473053892215569,59868,31.606601108077196
36,36000,0.036540973522463265,0.022033898305084745,0.03494481488739137,0.17796610169491525,0.07015065913370999,0.0,0.0,0.0,0.0,0.0,0.02729009414968776,0.016455696202531647,0.026098026308304954,0.13291139240506328,0.05239099859353025,40,0.25316455696202533,59868,28.95509501671626
37,37000,0.020604649979649982,0.015000000000000001,0.0247230189807397,0.14166666666666666,0.06536706349206349,0.008771929824561403,0.002631578947368421,0.004398959341215849,0.02631578947368421,0.0043859649122807015,0.017758805891717282,0.012025316455696204,0.01983495400414536,0.11392405063291139,0.05070072332730561,38,0.24050632911392406,59868,31.527142297958232
38,38000,0.029947373554816532,0.018367346938775512,0.026330828480698155,0.17346938775510204,0.05712666018788468,0.037037037037037035,0.008333333333333335,0.019588881860687374,0.08333333333333333,0.02019400352733686,0.032950054559051103,0.014117647058823532,0.02347541579457594,0.13529411764705881,0.04148459383753502,71,0.4176470588235294,59868,34.1301287496002
39,39000,0.03335500701439133,0.020754716981132078,0.03145520995816942,0.18867924528301888,0.06507936507936508,0.011299435028248588,0.0033898305084745766,0.01590775342450022,0.03389830508474576,0.03389830508474576,0.025468469152679675,0.014545454545454547,0.025895816409766494,0.13333333333333333,0.05392977392977393,59,0.3575757575757576,59868,36.332250913343906
40,40000,0.023422077741792884,0.019444444444444445,0.02248318652042985,0.1574074074074074,0.0457120811287478,0.03763440860215053,0.008064516129032258,0.015697643341171953,0.08064516129032258,0.011533538146441372,0.028605398408511555,0.015294117647058826,0.020008459007994618,0.12941176470588237,0.033246965452847804,62,0.36470588235294116,59868,32.4393992533333
41,41000,0.0339182966633947,0.02435897435897436,0.028894917385338996,0.20512820512820512,0.0458994708994709,0.05208333333333333,0.0125,0.047960056667404626,0.125,0.07118055555555555,0.03920267096737685,0.020909090909090912,0.03444113972193991,0.18181818181818182,0.05325396825396825,32,0.2909090909090909,59868,28.15161054032286
