batch,interactions,recall_existing,recall_new_content,recall_overall_content,n_new_users,pct_new_users,n_users_trained
210,210000,0.03359322495686132,0.008333333333333333,0.02521978021978022,60,0.3314917127071823,59868
211,211000,0.01787245420377308,0.0,0.01179338814806795,50,0.3401360544217687,59868
212,212000,0.015931663699312135,0.032828282828282825,0.02294535465850752,66,0.41509433962264153,59868
213,213000,0.028993444170221986,0.026455026455026454,0.02816911264415334,63,0.3247422680412371,59868
214,214000,0.02144761428390776,0.0234375,0.022128644689415264,64,0.3422459893048128,59868
215,215000,0.0200528154995205,0.02564102564102564,0.02190368764829927,52,0.33121019108280253,59868
216,216000,0.031811032569126506,0.024509803921568624,0.02899010331893368,68,0.38636363636363635,59868
217,217000,0.039007165817699245,0.028735632183908042,0.03573381993440315,58,0.31868131868131866,59868
218,218000,0.03454081830762769,0.03763440860215053,0.035612341202937284,62,0.3463687150837989,59868
219,219000,0.01598060644310753,0.010416666666666666,0.014002316744817445,64,0.35555555555555557,59868
220,220000,0.026771660315217483,0.02032520325203252,0.02482824311234555,41,0.3014705882352941,59868
221,221000,0.03257544043258329,0.018779342723004695,0.02722285607531509,71,0.3879781420765027,59868
222,222000,0.027207009745492044,0.008547008547008546,0.021735280070748764,39,0.2932330827067669,59868
223,223000,0.0399392494158482,0.014184397163120567,0.03048238960429977,47,0.3671875,59868
224,224000,0.026547650460156638,0.025423728813559317,0.026175114633475507,59,0.33146067415730335,59868
225,225000,0.03363876946466232,0.018229166666666664,0.028035277538118443,63,0.35795454545454547,59868
226,226000,0.016212690631808278,0.025157232704402514,0.01991629008374183,53,0.4140625,59868
227,227000,0.01711571008994255,0.0303030303030303,0.02126029644262727,55,0.3142857142857143,59868
228,228000,0.02983391816588964,0.013605442176870748,0.02531576291894688,48,0.2727272727272727,59868
229,229000,0.027743601427811952,0.022151898734177212,0.025659900895749953,79,0.37264150943396224,59868
230,230000,0.03237763211447422,0.0070921985815602835,0.023703067325810314,46,0.3357664233576642,59868
231,231000,0.03006466322792853,0.005952380952380952,0.021296560582274866,56,0.36363636363636365,59868
232,232000,0.026689707789182796,0.023809523809523808,0.025773285613836756,35,0.3181818181818182,59868
233,233000,0.04166703743720151,0.026315789473684206,0.036885501186269896,56,0.30601092896174864,59868
234,234000,0.03611409217844861,0.007462686567164179,0.024687638750138748,67,0.39880952380952384,59868
235,235000,0.025166410650281617,0.0065359477124183,0.019736961451247165,51,0.2914285714285714,59868
236,236000,0.026409690220174083,0.014124293785310733,0.02244882470292306,59,0.3224043715846995,59868
237,237000,0.036524959581300996,0.016666666666666666,0.029755086996766558,59,0.3352272727272727,59868
238,238000,0.03674497822727911,0.012345679012345678,0.028855384469156923,54,0.32335329341317365,59868
239,239000,0.046499177866208566,0.031073446327683614,0.04066508709202285,59,0.3782051282051282,59868
240,240000,0.020432022634539797,0.0202020202020202,0.020357610082842276,66,0.3235294117647059,59868
241,241000,0.03158271180717001,0.00505050505050505,0.021854235996392857,66,0.36666666666666664,59868
242,242000,0.03512041345047049,0.0136986301369863,0.026933030299243547,73,0.38219895287958117,59868
243,243000,0.02173121936946822,0.020833333333333332,0.0214835266698448,48,0.27586206896551724,59868
244,244000,0.04302867611691141,0.018817204301075266,0.03478081209173646,62,0.34065934065934067,59868
245,245000,0.023965350095381054,0.05333333333333333,0.03212312321703447,50,0.2777777777777778,59868
246,246000,0.015393750528021626,0.0,0.010450803110766975,35,0.3211009174311927,59868
247,247000,0.03771032052282053,0.027777777777777776,0.03445967016989744,54,0.32727272727272727,59868
248,248000,0.027621845453061417,0.007936507936507936,0.021212665796509125,41,0.3178294573643411,59868
249,249000,0.03179251669450298,0.007692307692307693,0.023504085027081317,65,0.3439153439153439,59868
250,250000,0.034613240791812216,0.029850746268656712,0.03270253939629474,67,0.40119760479041916,59868
251,251000,0.04586203627151903,0.02657004830917874,0.03881892955510908,69,0.36507936507936506,59868
252,252000,0.027850920740828993,0.027777777777777776,0.027824952824952825,60,0.35502958579881655,59868
253,253000,0.027542756552190517,0.0,0.016488180793148063,59,0.4013605442176871,59868
254,254000,0.0259404134822195,0.011695906432748537,0.021274109448772113,57,0.3275862068965517,59868
255,255000,0.018993678219920214,0.024691358024691357,0.02088125312456832,54,0.3312883435582822,59868
256,256000,0.03560121940181303,0.005555555555555555,0.024934119811425765,60,0.35502958579881655,59868
257,257000,0.036174342659840084,0.006289308176100628,0.026965582034036647,53,0.3081395348837209,59868
258,258000,0.03515677816189324,0.017543859649122806,0.02931993888731235,57,0.3313953488372093,59868
259,259000,0.03382903963724527,0.01937984496124031,0.02999375956892297,43,0.2654320987654321,59868
260,260000,0.023234483988016173,0.02702702702702703,0.024330765960230247,37,0.2890625,59868
261,261000,0.03306596974678469,0.014492753623188404,0.027589252171878093,45,0.28846153846153844,59868
262,262000,0.033792545420452395,0.02222222222222222,0.029732782894757597,60,0.3508771929824561,59868
263,263000,0.03612427205852485,0.01282051282051282,0.030870823444175317,39,0.2254335260115607,59868
264,264000,0.02844604612545943,0.01515151515151515,0.02384006689039212,44,0.3464566929133858,59868
265,265000,0.024630080314586526,0.0,0.01873570211964274,28,0.23931623931623933,59868
266,266000,0.03284451520135069,0.008620689655172414,0.024277552508190078,58,0.35365853658536583,59868
267,267000,0.024909670382111327,0.0,0.016562974547267743,64,0.33507853403141363,59868
