batch,interactions,strategy,recall_at_10,precision_at_10,ndcg_at_10,hr_at_10,recall_at_20,precision_at_20,ndcg_at_20,hr_at_20,mrr,batch_emissions_mg,update_emissions_mg,updated
52,52000,incremental,0.08060721783224607,0.13181818181818183,0.1506647411549065,0.4772727272727273,0.1338304844218559,0.1159090909090909,0.1615870254363557,0.5909090909090909,0.2599506331458203,13.429782811690602,0.0,False
53,53000,incremental,0.06021253742106389,0.11666666666666665,0.1299092549225366,0.47619047619047616,0.09463007745119081,0.09166666666666667,0.11965933179369656,0.5952380952380952,0.264297264626212,61.01430916616475,0.0,False
54,54000,incremental,0.07802605247971614,0.08888888888888886,0.10600794119073326,0.5740740740740741,0.1354013924491798,0.08425925925925924,0.12550388002797616,0.7962962962962963,0.20920428065035906,61.40433337549446,0.0,False
55,55000,incremental,0.05158932839366874,0.09393939393939396,0.1218762165858407,0.42424242424242425,0.09554678645191096,0.09848484848484848,0.13679761043620464,0.6363636363636364,0.25516692903056537,60.833148139622686,0.0,False
56,56000,incremental,0.05463871734252635,0.12631578947368424,0.14994030803585487,0.6052631578947368,0.10027112198279313,0.1131578947368421,0.14653943324222088,0.8157894736842105,0.3693629104813315,60.41596500112011,0.0,False
57,57000,incremental,0.08819350113274815,0.15555555555555556,0.17590759296843167,0.6222222222222222,0.13934432315014098,0.12444444444444445,0.17241395603522613,0.7111111111111111,0.3368574213311055,60.28843252534229,0.0,False
58,58000,incremental,0.06164226356583213,0.11081081081081083,0.11899407686097345,0.5405405405405406,0.11612732680175732,0.10270270270270271,0.13157064461718163,0.7027027027027027,0.24069811569811567,60.49603777481122,0.0,False
59,59000,incremental,0.06286446454152951,0.12666666666666665,0.15446559655752307,0.5333333333333333,0.10059765224540078,0.10833333333333332,0.1470815202383344,0.6666666666666666,0.32130061115355235,62.92483785399258,0.0,False
60,60000,incremental,0.09649375154239803,0.1375,0.15467990624038375,0.75,0.12362184948894685,0.109375,0.15300109000201034,0.78125,0.31062748015873015,60.30123303558694,228.23481336789422,True
61,61000,incremental,0.08186857043780135,0.11521739130434783,0.13547025343854455,0.5652173913043478,0.14405233134257361,0.10869565217391304,0.15459061196370638,0.782608695652174,0.27971092916745094,13.808445769798814,0.0,False
62,62000,incremental,0.04278787087327138,0.0794871794871795,0.09263716488699957,0.48717948717948717,0.105042773830036,0.08333333333333333,0.10959591503050332,0.6923076923076923,0.22163526045104995,65.50311848057493,0.0,False
63,63000,incremental,0.04574399231169321,0.17600000000000002,0.1883018575422701,0.52,0.08236899122460191,0.15200000000000002,0.17707013119402007,0.68,0.3311004159239453,13.423955028989305,0.0,False
64,64000,incremental,0.06028510576828047,0.08974358974358976,0.08937428342215978,0.5641025641025641,0.11233444339028015,0.09358974358974356,0.10905803385893052,0.7692307692307693,0.18632414593953056,62.8796544044543,0.0,False
65,65000,incremental,0.07811895410305536,0.12000000000000001,0.13710951436003546,0.6,0.13125830489790621,0.11142857142857142,0.14897442822819731,0.7714285714285715,0.28317606996178424,62.218396342503254,0.0,False
