batch,interactions,strategy,recall_at_10,ndcg_at_10,hr_at_10,recall_at_20,ndcg_at_20,hr_at_20,mrr,update_energy_uwh,updated
93,93000,no_update,0.05920735915033887,0.12448211778346598,0.5526315789473685,0.10705556974680386,0.1348063499211882,0.7105263157894737,0.24835460592039538,0.0,False
94,94000,no_update,0.049858954545038865,0.10109536360242068,0.43243243243243246,0.08524871777095674,0.10715455248709653,0.5135135135135135,0.1825970200970201,0.0,False
95,95000,no_update,0.06496663118994626,0.1212600066588966,0.5454545454545454,0.13743022596001458,0.14169018641582884,0.696969696969697,0.28809263127444945,0.0,False
96,96000,no_update,0.07711862192270964,0.10675423273846386,0.6333333333333333,0.1114623547831595,0.11816203750107944,0.6666666666666666,0.21493386243386245,0.0,False
97,97000,no_update,0.06098747011430835,0.09517900045772676,0.5,0.10690583398763545,0.11113960552299645,0.65625,0.22938823007273085,0.0,False
98,98000,no_update,0.03232104403713684,0.11703446891832407,0.4090909090909091,0.06082342094406557,0.11083364738006059,0.6818181818181818,0.2596264846264846,0.0,False
99,99000,no_update,0.08579099399956312,0.13326496794162163,0.6176470588235294,0.13032202050371386,0.14083423434973305,0.7647058823529411,0.2674179140180324,0.0,False
100,100000,no_update,0.03838333486451425,0.07557656895457007,0.35555555555555557,0.10783455049475323,0.10080558040371836,0.6666666666666666,0.2054299770863238,0.0,False
101,101000,no_update,0.05878898915329673,0.08462351046233749,0.4411764705882353,0.12975934500574973,0.10987090345492141,0.7352941176470589,0.21325539785292105,0.0,False
102,102000,no_update,0.05416677662765819,0.09137118105054715,0.38636363636363635,0.11220182587142635,0.11474718067408342,0.6136363636363636,0.19720712665231382,0.0,False
103,103000,no_update,0.03551945457882179,0.08802437970719594,0.3870967741935484,0.08419358895396266,0.10513138501962946,0.5806451612903226,0.18709270120560445,0.0,False
104,104000,no_update,0.06903290821359069,0.13425179593593645,0.5862068965517241,0.11364839347378278,0.1383956395228936,0.7241379310344828,0.2701714775444358,0.0,False
105,105000,no_update,0.07720404781226764,0.11182161981355879,0.5405405405405406,0.10423358954313497,0.11268430123759268,0.6756756756756757,0.23522836022836024,0.0,False
106,106000,no_update,0.05569597547445862,0.14240371107185051,0.5806451612903226,0.07448174772583051,0.13726380465003488,0.5806451612903226,0.2391449052739375,0.0,False
107,107000,no_update,0.05065890008272784,0.11320042811696263,0.5675675675675675,0.09611188603301168,0.11756916113656744,0.7567567567567568,0.250014959728582,0.0,False
108,108000,no_update,0.040659482014231516,0.09444264791604899,0.3939393939393939,0.09154341201273755,0.11117286135764458,0.5757575757575758,0.19248753326293433,0.0,False
109,109000,no_update,0.04207134688400098,0.06533317922956082,0.2702702702702703,0.08569747062615565,0.08879559231607063,0.5675675675675675,0.12727422448784678,0.0,False
110,110000,no_update,0.03149834292553634,0.0782391270081992,0.4375,0.05395490560747235,0.08088362764439899,0.59375,0.19621052966641203,0.0,False
111,111000,no_update,0.03838174158712504,0.07751937641470982,0.42857142857142855,0.07819669640821006,0.09667297688014943,0.6428571428571429,0.18874438684810202,0.0,False
112,112000,no_update,0.04426921662522246,0.0968058101539897,0.4583333333333333,0.07887466656352951,0.10312428193606556,0.75,0.17476493413993413,0.0,False
113,113000,no_update,0.058708249629013706,0.10726095543966609,0.46511627906976744,0.11067975094441351,0.11825808958804503,0.627906976744186,0.20414301460813092,0.0,False
114,114000,no_update,0.05302255558666529,0.09171635111913709,0.5116279069767442,0.12487933197619294,0.11995533452259924,0.7441860465116279,0.21015310778612672,0.0,False
115,115000,no_update,0.04031735733565203,0.09325587423817708,0.47619047619047616,0.09137652506871513,0.10508130065680556,0.6428571428571429,0.20221492443131098,0.0,False
116,116000,no_update,0.04824620897555391,0.08812770767738706,0.47368421052631576,0.07017840509464772,0.08569167841831604,0.631578947368421,0.18766526945706513,0.0,False
117,117000,no_update,0.0760167710110113,0.10989769636225995,0.5,0.12609519814530748,0.12321933786483681,0.6041666666666666,0.19825307794057792,0.0,False
118,118000,no_update,0.08833537116231918,0.13850056648397083,0.5454545454545454,0.1482513163945779,0.1511927452141859,0.6363636363636364,0.23575953773322192,0.0,False
119,119000,no_update,0.05312741964030448,0.0877531404120479,0.46511627906976744,0.08835483534008147,0.09605305700250863,0.6046511627906976,0.196180153635694,0.0,False
120,120000,no_update,0.03910833353650928,0.11537234433912916,0.5428571428571428,0.11148027464012682,0.13026724326615546,0.7714285714285715,0.2648788746267738,0.0,False
121,121000,no_update,0.0842548161751037,0.1818255326177006,0.625,0.12985114218211885,0.1798209661260728,0.7916666666666666,0.35264041514041516,0.0,False
122,122000,no_update,0.06757987295752091,0.10722139423277628,0.4897959183673469,0.11507984672376653,0.12171540725738461,0.673469387755102,0.24374959686452705,0.0,False
123,123000,no_update,0.06146590769414516,0.12027712708647861,0.46511627906976744,0.09261882612729402,0.12009841095266367,0.6046511627906976,0.2816477127523639,0.0,False
124,124000,no_update,0.045918504641064846,0.07611908566102542,0.5581395348837209,0.0913274439964932,0.09096564208534473,0.6744186046511628,0.21507097553609178,0.0,False
125,125000,no_update,0.044337935138108533,0.10319062756263646,0.47058823529411764,0.07855229621982474,0.10860517563374882,0.6176470588235294,0.2425628293275352,0.0,False
