batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_users_trained
287,287000,0.026836020652024173,0.018000000000000002,0.022789220969703497,0.006172839506172839,0.001851851851851852,0.008690346778199194,0.019590489600881496,0.012337662337662338,0.017845459889565627,0.35064935064935066,54,59868
288,288000,0.024664485314390437,0.01370967741935484,0.02167859091221261,0.026666666666666665,0.008,0.02334320909932404,0.025239824783435328,0.01206896551724138,0.022156929471727392,0.28735632183908044,50,59868
289,289000,0.036288278062251995,0.02169811320754717,0.03441451416498772,0.01020408163265306,0.004081632653061225,0.010804821010262802,0.02804230628773362,0.016129032258064516,0.026950804716074677,0.3161290322580645,49,59868
290,290000,0.03002952593824304,0.016406249999999997,0.027654450223949585,0.010416666666666666,0.0020833333333333333,0.00805943348405295,0.02468056431872221,0.0125,0.022310354749432323,0.2727272727272727,48,59868
291,291000,0.03422270404252386,0.023423423423423424,0.030211446040916145,0.004219409282700422,0.0012658227848101266,0.0025583208417790833,0.021747649905544644,0.014210526315789474,0.018713567668643367,0.4105263157894737,78,59868
292,292000,0.03382265206029295,0.019811320754716984,0.03543834946680518,0.0,0.0,0.0,0.02422433188102063,0.014189189189189193,0.025381520564063165,0.28378378378378377,42,59868
293,293000,0.043834203498664744,0.02608695652173913,0.03675259569435491,0.0070921985815602835,0.002127659574468085,0.004300156308522289,0.031410647879212154,0.017985611510791366,0.025779468707778412,0.3381294964028777,47,59868
294,294000,0.031630776009772175,0.016666666666666666,0.030498560706672926,0.0,0.0,0.0,0.022865621211883496,0.012048192771084338,0.022047152318076812,0.27710843373493976,46,59868
295,295000,0.027026449355834908,0.019230769230769232,0.027631958578662647,0.0,0.0,0.0,0.019384487813840213,0.013793103448275862,0.019818784084006315,0.2827586206896552,41,59868
296,296000,0.018292548500881835,0.012499999999999999,0.016515570050264272,0.0,0.0,0.0,0.011256952923619591,0.007692307692307693,0.010163427723239554,0.378698224852071,64,59868
297,297000,0.03726725652325352,0.022413793103448276,0.0335585652723093,0.010582010582010581,0.0031746031746031746,0.006852918799973223,0.027875242588626118,0.015642458100558657,0.024159371262492697,0.35195530726256985,63,59868
298,298000,0.031139815350341663,0.017543859649122806,0.02484389362710422,0.0065359477124183,0.00196078431372549,0.0032776559797294564,0.023534983534983536,0.012727272727272728,0.018177965627006566,0.3090909090909091,51,59868
299,299000,0.03939001280671525,0.01897810218978102,0.026713588457108434,0.0,0.0,0.0,0.027254705830909037,0.013131313131313133,0.018483644538504318,0.30808080808080807,61,59868
300,300000,0.019693520785167052,0.015,0.02309962882824728,0.0,0.0,0.0,0.013488712866552776,0.010273972602739725,0.01582166358099129,0.3150684931506849,46,59868
301,301000,0.03660305440420933,0.023711340206185566,0.031601369041269076,0.0,0.0,0.0,0.024153035899376226,0.01564625850340136,0.020852604061245582,0.3401360544217687,50,59868
302,302000,0.03441061068943978,0.025842696629213482,0.02866100284753046,0.023809523809523808,0.0071428571428571435,0.023243589948575328,0.031873598444673565,0.021367521367521368,0.02736452796572923,0.23931623931623933,28,59868
303,303000,0.02674586395516628,0.018691588785046735,0.028783621541833886,0.006172839506172839,0.001851851851851852,0.004345173389099597,0.01984559488531755,0.013043478260869566,0.020586874956444744,0.33540372670807456,54,59868
304,304000,0.03539006153642559,0.01732283464566929,0.03282071019423321,0.0043859649122807015,0.0013157894736842105,0.0021994796706079245,0.02378261649487381,0.011330049261083743,0.021356604185388272,0.37438423645320196,76,59868
305,305000,0.02334170761458343,0.018518518518518517,0.024497347971110753,0.0,0.0,0.0,0.016476499492647127,0.013071895424836602,0.017292245626666414,0.29411764705882354,45,59868
306,306000,0.03190063002463696,0.02087912087912088,0.03588751501357018,0.017241379310344827,0.005172413793103449,0.011116968249472762,0.026194344511691024,0.014765100671140941,0.026245288756404743,0.3825503355704698,57,59868
307,307000,0.025878437348683517,0.025974025974025976,0.02798198355733763,0.007246376811594202,0.002173913043478261,0.005100855717638657,0.018910349668146052,0.01707317073170732,0.019424813796149396,0.37398373983739835,46,59868
308,308000,0.02268988107473834,0.017045454545454544,0.02450148352982963,0.0,0.0,0.0,0.014681687754242456,0.011029411764705883,0.01585390110753682,0.35294117647058826,48,59868
309,309000,0.031112353038582546,0.01721311475409836,0.028949393059426082,0.019774011299435026,0.005084745762711865,0.010328576691209818,0.027416429488252687,0.013259668508287295,0.02287962418801857,0.3259668508287293,59,59868
310,310000,0.04717731123981124,0.023387096774193553,0.03555405586680433,0.012077294685990336,0.002898550724637681,0.01568733215635094,0.034628600658393405,0.01606217616580311,0.028451444799336537,0.35751295336787564,69,59868
311,311000,0.041988720603761166,0.02272727272727273,0.0354688769153255,0.014583333333333332,0.0037500000000000007,0.008167235853975338,0.03044961017410734,0.01473684210526316,0.023973449100020167,0.42105263157894735,80,59868
312,312000,0.020421282257565447,0.018584070796460177,0.024422217035769727,0.0,0.0,0.0,0.012891647458686565,0.011731843575418994,0.015417377234871396,0.36312849162011174,65,59868
313,313000,0.03390200080467332,0.022018348623853216,0.029490367688127666,0.02027027027027027,0.005405405405405406,0.014658574813216047,0.02838971632628083,0.01530054644808743,0.023492812099365597,0.3989071038251366,73,59868
314,314000,0.030811859455584154,0.019658119658119658,0.02899835711977673,0.024193548387096774,0.0064516129032258064,0.019259670448423163,0.028519483554767296,0.015083798882681566,0.025625180730816273,0.3463687150837989,62,59868
315,315000,0.018045407954698774,0.013084112149532711,0.02002746268543584,0.0,0.0,0.0,0.013316266559674267,0.009655172413793102,0.014778886257528519,0.2620689655172414,38,59868
316,316000,0.0254491637688359,0.013114754098360656,0.022093640094890836,0.008547008547008546,0.002564102564102564,0.009812315858828483,0.018857323232323232,0.009000000000000001,0.017303923642826517,0.39,78,59868
317,317000,0.034260434130853605,0.022115384615384613,0.035389052129677905,0.009615384615384616,0.0019230769230769232,0.011791292168566506,0.026045417625697277,0.015384615384615387,0.02752313214264077,0.3333333333333333,52,59868
318,318000,0.029654070567114044,0.015384615384615385,0.02296812466396977,0.0045662100456621,0.0013698630136986301,0.0024868738703746943,0.02063232762097615,0.010344827586206896,0.015602945807159721,0.35960591133004927,73,59868
319,319000,0.028220916840826345,0.01846153846153846,0.0278746326149024,0.0045662100456621,0.0013698630136986301,0.0018582462114033942,0.019714544446506197,0.012315270935960592,0.018518986272757436,0.35467980295566504,72,59868
320,320000,0.016086602560823827,0.01326530612244898,0.017720849044381683,0.0,0.0,0.0,0.010509913673071568,0.008666666666666666,0.011577621375662699,0.3466666666666667,52,59868
321,321000,0.04382963003033643,0.02521008403361345,0.035152658606011716,0.01818181818181818,0.005454545454545455,0.00822742096315365,0.03572256306672433,0.018965517241379314,0.026641807626947386,0.3160919540229885,55,59868
322,322000,0.032588336786723425,0.02277227722772277,0.0315702545791187,0.0070921985815602835,0.002127659574468085,0.003862591330581972,0.024491590194543236,0.016216216216216217,0.022771199358299608,0.31756756756756754,47,59868
323,323000,0.03338342878392086,0.01864406779661017,0.025631934729507165,0.0220125786163522,0.0056603773584905665,0.017027455115249435,0.029859130193972672,0.014619883040935672,0.02296504923502962,0.30994152046783624,53,59868
