batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg
127,127000,0.0256993006993007,0.0040209790209790215,0.015578950613349934,0.03671328671328671,0.015636446886446883,0.025925925925925925,0.004444444444444445,0.016331803498050627,0.037037037037037035,0.016872427983539093,0.025742574257425748,0.004101838755304101,0.015722706114671848,0.036775106082036775,0.015872454592398014,80,0.11315417256011315,59868,11.77104840109633,22.61920454432742,127.39919654111698,11.659492027710911,14.702074860865888,11.663018331904002,11.683075794736986,211.4971105017585
128,128000,0.03181356526877551,0.004753199268738574,0.016098115172855802,0.04753199268738574,0.013895418008763531,0.027131782945736434,0.003875968992248062,0.010614075980464453,0.03875968992248062,0.006361511012673803,0.030920148227840536,0.004585798816568047,0.015051604735254496,0.04585798816568047,0.012457734573119187,71,0.10502958579881656,59868,11.698479219435926,23.714832680654663,134.75435616373127,11.701895682759977,14.875879297295697,11.6865455489501,11.67543483565972,220.10742342848735
129,129000,0.03678423411993572,0.006216696269982238,0.02130477554087175,0.06039076376554174,0.0213820519326736,0.0070921985815602835,0.0007092198581560284,0.00274363693074143,0.0070921985815602835,0.0014184397163120568,0.030837391774891774,0.0051136363636363645,0.017587274768104174,0.04971590909090909,0.017383658008658008,75,0.10653409090909091,59868,11.737737600783781,23.325358909132703,128.69669235567386,11.665564607788587,14.718492280341861,11.671218133699895,11.664687756148679,213.47975164356933
130,130000,0.020601851851851854,0.003993055555555555,0.012922051066092339,0.03993055555555555,0.016306354717813047,0.008,0.0016,0.0038705030653342154,0.016,0.003466666666666667,0.0183547313361864,0.003566333808844508,0.011308008983218208,0.03566333808844508,0.01401682403822204,60,0.08559201141226819,59868,11.697542747501204,20.876997336105596,124.67355165805132,11.66698750748596,15.17336542529793,11.677074675170429,11.679600717007938,207.44512006662038
131,131000,0.03395729339988907,0.005158069883527455,0.016331872655497855,0.04658901830282862,0.013174471119562634,0.024,0.0032,0.00875569518640321,0.032,0.0048095238095238095,0.032242883379247016,0.004820936639118458,0.01502743438602564,0.0440771349862259,0.011734225370589007,68,0.09366391184573003,59868,11.715178044286596,21.845049491889256,128.69312434232728,11.668562623291107,15.26269264932878,11.674068924296538,11.667667352437128,212.5263434278567
132,132000,0.03763816172193136,0.004712041884816754,0.02123249095025577,0.04712041884816754,0.019177816560015513,0.016556291390728478,0.0026490066225165563,0.008864276645249119,0.026490066225165563,0.009197939661515822,0.033241252302025785,0.0042817679558011055,0.018652932441891125,0.04281767955801105,0.0170963781461019,88,0.12154696132596685,59868,11.740180217049284,25.69704525584582,128.88490382959722,11.682962891793046,15.24550774768471,11.719400974920246,11.714069141834093,216.68407005872442
133,133000,0.029294755877034357,0.004159132007233272,0.014568861786490453,0.039783001808318265,0.01196934469990528,0.018796992481203006,0.002255639097744361,0.008518753699952357,0.022556390977443608,0.006578947368421052,0.02725947521865889,0.0037900874635568515,0.013395881647263679,0.03644314868804665,0.010924267666250174,72,0.10495626822157435,59868,11.792586473009099,22.07991522043193,132.5510342380029,11.744298630510242,15.092717226973528,11.68315391416458,11.72170819538354,216.6654138984758
134,134000,0.027116170461179215,0.0043782837127845885,0.01331634083476383,0.03852889667250438,0.01042031523642732,0.005668934240362811,0.001360544217687075,0.0025498889716037395,0.013605442176870748,0.002105604146420473,0.022725162488393687,0.0037604456824512538,0.011112067263894007,0.033426183844011144,0.008717999734712826,78,0.10863509749303621,59868,11.716173281679094,23.21953667069193,123.36020759626948,11.664341350359209,14.936828756029197,11.675271625356809,11.669664136116504,208.2420234165022
135,135000,0.039566395663956644,0.005365853658536586,0.018177887205059053,0.05040650406504065,0.014748999870951088,0.007716049382716049,0.001851851851851852,0.0033930406694546,0.018518518518518517,0.002700617283950617,0.03480866758875057,0.004840940525587829,0.015969362411358802,0.04564315352697095,0.01294924147621243,53,0.07330567081604426,59868,11.70089368222188,19.06999062367687,123.54624206264985,11.660804266445252,15.067696712261352,11.672114984297155,11.67902627259576,204.39676860414812
136,136000,0.02753246753246753,0.0038181818181818182,0.01696101383095294,0.038181818181818185,0.01624963924963925,0.03514739229024943,0.0054421768707483,0.016174797381057066,0.05442176870748299,0.015211640211640209,0.029138484662157547,0.004160688665710187,0.016795197736068156,0.04160688665710186,0.016030721231582064,87,0.12482065997130559,59868,11.76109367365119,23.690257044208657,122.72318984092936,11.662291277154264,14.867437575838416,11.674665846936328,11.672843948526413,208.0517792072446
137,137000,0.02644464720194647,0.004379562043795621,0.014356800046472107,0.043795620437956206,0.01563115513845441,0.034013605442176874,0.006122448979591837,0.01732581109580274,0.05442176870748299,0.01452057013281503,0.02804556354916067,0.00474820143884892,0.01498477792309312,0.0460431654676259,0.015396254425031404,95,0.1366906474820144,59868,11.706843136186084,24.58770244868902,122.9210341529563,11.664049600002697,14.633949249595602,11.68679655443386,11.682986526501821,208.8833616683654
138,138000,0.03161231884057971,0.0050724637681159425,0.01736156412766794,0.04891304347826087,0.01644956291695422,0.020161290322580645,0.004032258064516129,0.012717179386883055,0.03225806451612903,0.016935483870967744,0.029511834319526625,0.004881656804733727,0.016509635565748824,0.04585798816568047,0.016538696346388656,72,0.10650887573964497,59868,11.692878030003516,21.97811334606059,124.6275751744276,11.674165710670593,14.887506429167585,11.679804216079697,11.675834267158013,208.21587717356763
139,139000,0.015382317801672638,0.0025089605734767025,0.009489888978301815,0.025089605734767026,0.009741423451100871,0.012910798122065727,0.0028169014084507044,0.009016251040363807,0.028169014084507043,0.011443661971830986,0.01488095238095238,0.0025714285714285717,0.009393808139462962,0.025714285714285714,0.010086734693877551,68,0.09714285714285714,59868,11.710783632590955,21.015838576627505,126.61945094286433,11.67060906708331,15.058922904865463,11.66973132671334,11.701861833222221,209.4471982839671
140,140000,0.019166666666666665,0.0033333333333333335,0.009600112178464681,0.03333333333333333,0.009895502645502647,0.02098765432098765,0.0029629629629629632,0.007972026397936824,0.02962962962962963,0.0049676660787771896,0.01950113378684807,0.00326530612244898,0.009301076014694258,0.0326530612244898,0.008990389806716338,78,0.10612244897959183,59868,11.7327691675842,30.827337566773778,135.47312309385856,11.681025517764482,15.116988088988148,11.680624702723602,11.692161838255249,228.20402997594803
141,141000,0.016696481812760882,0.002325581395348837,0.007872967911005726,0.023255813953488372,0.0075034784337109925,0.009933774834437087,0.0013245033112582781,0.010683093991824228,0.013245033112582781,0.013245033112582781,0.015258215962441313,0.0021126760563380284,0.008470614443686844,0.02112676056338028,0.008724569640062598,84,0.11830985915492957,59868,11.789042076097711,30.081591468358177,136.82565460791315,11.669006944901861,14.848674891758396,11.668748054194378,11.689962161245266,228.57268020446895
142,142000,0.028105677346824055,0.0038785834738617204,0.014587915955538653,0.0387858347386172,0.012901175084986215,0.016548463356973995,0.0021276595744680856,0.010327838874355249,0.02127659574468085,0.008983451536643027,0.025885558583106268,0.0035422343324250684,0.013769563273730943,0.035422343324250684,0.012148587863846719,80,0.10899182561307902,59868,11.738810472870092,29.031382098292784,128.20479209672138,11.66777836690558,15.038108607107887,11.666890251192664,11.676910359741111,219.02467225283146
143,143000,0.030380116959064327,0.0043859649122807015,0.014158328652144392,0.043859649122807015,0.011170983013088278,0.021739130434782608,0.0036231884057971015,0.00982659095360835,0.036231884057971016,0.0074361628709454786,0.028695856873822975,0.004237288135593221,0.013314006897344995,0.0423728813559322,0.010443009595551968,71,0.10028248587570622,59868,11.705651497145169,22.038207255055397,123.93952494568067,11.667313809183428,14.892314827496394,11.674282960380534,11.684801136210844,207.60209643115246
144,144000,0.020854700854700852,0.003076923076923077,0.012177600331456819,0.03076923076923077,0.012294803961470629,0.0,0.0,0.0,0.0,0.0,0.016781292984869325,0.0024759284731774413,0.009799031903579421,0.024759284731774415,0.009893342940110478,80,0.11004126547455295,59868,11.697898328548451,23.503405767281993,128.0916109145068,11.671924967156244,15.0577726133784,11.683260321464218,11.692755902036057,213.39862881437213
145,145000,0.0286281179138322,0.003741496598639456,0.013681413831651182,0.03571428571428571,0.010853309577799375,0.013605442176870748,0.001360544217687075,0.009070294784580499,0.013605442176870748,0.007774538386783284,0.025623582766439907,0.00326530612244898,0.012759190022237046,0.031292517006802724,0.010237555339596156,76,0.10340136054421768,59868,11.726081489988466,29.788296383451847,133.32600359827057,11.668998934059871,14.958633648073928,11.686960507531484,11.684966481954884,224.83994104333107
146,146000,0.019463276836158193,0.003389830508474577,0.012962494631364898,0.030508474576271188,0.014846650524616626,0.007246376811594203,0.0007246376811594203,0.004571954736025055,0.007246376811594203,0.0036231884057971015,0.0171474358974359,0.0028846153846153848,0.011371980200654873,0.0260989010989011,0.012719126111983252,84,0.11538461538461539,59868,11.755972838665974,30.098815892332098,124.50293923584044,11.666683619460105,14.958459061971407,11.681222256962332,11.672050412032952,216.33614331726534
147,147000,0.019064124783362214,0.0027729636048526864,0.009668943442222624,0.025996533795493933,0.008195097796484278,0.01927437641723356,0.003401360544217687,0.011484531464258476,0.027210884353741496,0.012309685779073534,0.01910681399631676,0.0029005524861878454,0.010037578026807251,0.026243093922651933,0.00903051828466193,74,0.10220994475138122,59868,11.7101790576557,23.049253185240815,123.20007125095344,14.907568538863325,14.99114242192734,11.67284606033714,11.733436913838325,211.2644974288161
