batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained
74,74000,0.024960753532182103,0.07692307692307693,0.08271778327830245,0.06388734694805051,0.32307692307692304,0.32656703128743775,0.04442405024011631,0.2,0.20464240728287006,0.3076923076923077,8,771,26,307,5328
75,75000,0.09183673469387754,0.049999999999999996,0.07313613049350133,0.02857054147134794,0.16111111111111112,0.19203249520600257,0.05624950100620464,0.1125,0.1400153356442833,0.21875,7,931,32,323,5328
76,76000,0.08813626460685284,0.058823529411764705,0.07638251473971246,0.05681076012220916,0.19999999999999998,0.2269494385863257,0.07398926258152988,0.12258064516129032,0.14438048034786036,0.22580645161290322,7,820,31,338,5328
77,77000,0.022026446919817245,0.01935483870967742,0.0212310782719408,0.07255213281051195,0.1653846153846154,0.16994057193792014,0.045073251010309574,0.08596491228070176,0.08906347889151033,0.24561403508771928,14,760,57,372,5328
78,78000,0.0820393374741201,0.03043478260869565,0.07526920349792007,0.07302254212113933,0.2222222222222222,0.21777980391799448,0.07808074439232364,0.11463414634146342,0.1378348329506357,0.24390243902439024,10,602,41,398,5328
79,79000,0.018781512605042017,0.016,0.016880518482010873,0.03697589366306995,0.14583333333333334,0.16898603718684682,0.027693046184484274,0.07959183673469387,0.09138118070478767,0.2653061224489796,13,869,49,424,5328
80,80000,0.0,0.0,0.0,0.03549504480768291,0.1636363636363636,0.1897937743343152,0.022311171021972116,0.10285714285714284,0.11929894386728385,0.3142857142857143,11,977,35,442,5328
81,81000,0.0625,0.00625,0.024178300452158852,0.04779318968001584,0.2235294117647059,0.2544888278974802,0.05492376438061423,0.1181818181818182,0.14282311762096078,0.2727272727272727,9,950,33,33,5328
82,82000,0.006053268765133172,0.03571428571428571,0.04032458281217287,0.03721696377362119,0.22727272727272727,0.226752120486177,0.0197652945688679,0.12,0.1223526993887347,0.2,5,907,25,52,5328
83,83000,0.04487179487179487,0.03636363636363637,0.0335667607725223,0.04818717832708317,0.18888888888888888,0.20327818712075263,0.0469296190854221,0.1310344827586207,0.13890488747142388,0.20689655172413793,6,931,29,76,5328
84,84000,0.05263157894736842,0.005263157894736842,0.05263157894736842,0.046754013728823124,0.2583333333333333,0.3071310480165829,0.050356392411157344,0.1032258064516129,0.1511475024580321,0.1935483870967742,6,925,31,100,5328
85,85000,0.0,0.0,0.0,0.07770964088057691,0.3266666666666666,0.3406568863895292,0.055506886343269224,0.2333333333333333,0.24332634742109227,0.47619047619047616,10,838,21,116,5328
86,86000,0.011363636363636364,0.004545454545454546,0.006864528101263875,0.0365410418159438,0.26153846153846155,0.2801002371785305,0.020715244103064842,0.10000000000000002,0.10835207718710578,0.17142857142857143,6,937,35,140,5328
87,87000,0.09474025974025974,0.045,0.06617564028963648,0.06190161344834551,0.35000000000000003,0.34859382824624424,0.08121846420829505,0.17058823529411762,0.18246548238941615,0.23529411764705882,8,822,34,162,5328
88,88000,0.02092592592592592,0.016666666666666666,0.02064113710741339,0.051568662582372554,0.20666666666666667,0.21268421924361883,0.031140171478074796,0.08000000000000002,0.08465549781948187,0.17777777777777778,8,866,45,196,5328
89,89000,0.015821469091120983,0.06470588235294118,0.0671619667303743,0.025752599890530928,0.13333333333333333,0.12872300441566456,0.017900077863090506,0.07906976744186045,0.08004683508310947,0.046511627906976744,2,206,43,220,5328
90,90000,0.006288203540525522,0.010526315789473684,0.009446163425569334,0.018622969076092385,0.13846153846153844,0.14791735849534676,0.009432359461356293,0.04313725490196079,0.04474274256100279,0.0196078431372549,1,722,51,253,5328
91,91000,0.01126069600334306,0.008333333333333333,0.01736592747753668,0.04715765595235688,0.14375,0.15128572037067306,0.020234935990596517,0.042187499999999996,0.050845875700820775,0.0,0,507,64,287,5328
92,92000,0.02186364010491917,0.020930232558139538,0.030700061598318593,0.021965450023526248,0.1111111111111111,0.1110248792379433,0.021881261052370395,0.03653846153846155,0.04460243388209979,0.0,0,383,52,313,5328
