batch,interactions,recall_existing,precision_existing,ndcg_existing,hr_existing,mrr_existing,recall_new_content,precision_new_content,ndcg_new_content,hr_new_content,mrr_new_content,recall_overall_content,precision_overall_content,ndcg_overall_content,hr_overall_content,mrr_overall_content,n_new_users,pct_new_users,n_users_trained,id_resolution_emissions_mg,recovered_history_seed_emissions_mg,expand_embeddings_emissions_mg,gt_split_emissions_mg,scoring_emissions_mg,history_update_emissions_mg,apply_content_seeds_emissions_mg,batch_emissions_mg
21,21000,0.006319115323854661,0.13333333333333333,0.17248708330420526,0.3333333333333333,0.3333333333333333,0.05363181027158557,0.44000000000000006,0.45772390064087826,1.0,0.5785714285714285,0.03588954966618648,0.325,0.35076009413962583,0.75,0.48660714285714285,3,0.375,5328,11.721207388856216,11.656271841649964,56.21018586920252,11.660883221571108,11.692040755691135,11.725119616970598,11.715730130734768,126.38143882467632
22,22000,0.02564102564102564,0.1,0.12999919949889363,0.25,0.25,0.06452350097547074,0.2647058823529412,0.2807514559517333,0.8235294117647058,0.494187675070028,0.05711731519748121,0.2333333333333333,0.2520367404369067,0.7142857142857143,0.4476757369614513,13,0.6190476190476191,5328,11.714328496063592,11.658429165460442,56.741703726143676,11.659162564812107,11.696148513850366,11.66822331030411,11.764269926316153,126.90226570295044
23,23000,0.3428571428571428,0.06666666666666667,0.1418794696815998,0.6666666666666666,0.09722222222222221,0.03461836959147134,0.2,0.20010054805468294,0.6666666666666666,0.37003968253968256,0.07865248005799585,0.18095238095238098,0.1917832511442425,0.6666666666666666,0.3310657596371882,8,0.38095238095238093,5328,11.702617632353835,11.655294209380989,57.56292294441159,11.658765129356034,11.721471023440431,11.684503771812981,11.776222979249015,127.76179769000488
24,24000,0.02990338164251207,0.06000000000000001,0.04440598815349084,0.6,0.09,0.07245401028463672,0.2136363636363636,0.22477695338852596,0.6818181818181818,0.3948232323232323,0.06457426423979883,0.18518518518518517,0.1913749227894454,0.6666666666666666,0.3383744855967078,16,0.5925925925925926,5328,11.730874023132241,11.656319643330113,56.48955874118034,11.659397352501832,11.689968237880555,11.670338615468214,11.754900852178116,126.6513574656714
25,25000,0.003968253968253968,0.05,0.08973855254290868,0.25,0.25,0.051080608085368316,0.175,0.1797468697661977,0.75,0.3020833333333333,0.04322854906584927,0.15416666666666665,0.1647454835623162,0.6666666666666666,0.2934027777777778,9,0.375,5328,11.69182014498435,11.655402624505957,57.53135808830032,11.662370147117342,11.723223101273074,11.67419304872559,11.787059520415589,127.72542667532224
26,26000,0.3,0.04,0.12305045097059224,0.4,0.07222222222222222,0.10643126817112376,0.19230769230769235,0.22998270259138562,0.6153846153846154,0.391025641025641,0.16020036034581162,0.15000000000000002,0.20027929936338743,0.5555555555555556,0.3024691358024691,5,0.2777777777777778,5328,11.728085438043705,11.656836138790663,57.1860390781386,11.657490638639079,11.682059543311526,11.674278635256506,11.68854032923593,127.273329801416
27,27000,0.06190476190476191,0.05,0.06146389406020458,0.5,0.15625,0.06062745197015966,0.19999999999999998,0.24078570393889964,0.7894736842105263,0.5394736842105263,0.06084959282835133,0.17391304347826086,0.20959930222086567,0.7391304347826086,0.47282608695652173,10,0.43478260869565216,5328,11.687588903924565,11.662252964803141,57.460737557782274,11.658791663506346,11.682961846345465,11.667367697284007,11.720044360493796,127.5397449941396
28,28000,0.0,0.0,0.0,0.0,0.0,0.055229377715245435,0.21818181818181817,0.24365085304176032,0.5454545454545454,0.42196969696969694,0.05062692957230832,0.20000000000000004,0.2233466152882803,0.5,0.38680555555555557,11,0.4583333333333333,5328,11.692847920530443,11.663036962028354,57.6747803055222,11.663239395798188,11.72504909707512,11.685948221431056,11.791508132633338,127.8964100350187
29,29000,0.0,0.0,0.0,0.0,0.0,0.06570067268668965,0.2352941176470588,0.2418739574035915,0.8823529411764706,0.3948412698412699,0.06570067268668965,0.2352941176470588,0.2418739574035915,0.8823529411764706,0.3948412698412699,8,0.47058823529411764,5328,11.728319786904335,11.656812545432494,56.89935903793091,11.66270114399048,11.705872916528866,11.674303911883218,11.78453334870714,127.11190269137744
30,30000,0.11538461538461538,0.06000000000000001,0.06632771916358357,0.4,0.05833333333333333,0.08411645275043164,0.21764705882352942,0.264366701870971,0.7647058823529411,0.469187675070028,0.09122285334910975,0.18181818181818182,0.21935784216474657,0.6818181818181818,0.37581168831168826,9,0.4090909090909091,5328,11.720513625875125,11.656963566575133,56.76783115685178,11.661064971238075,11.724138574801222,11.690838294687971,11.791344090381767,127.01269428041108
31,31000,0.0,0.0,0.0,0.0,0.0,0.04706618790049325,0.33076923076923076,0.37951585264941723,0.7692307692307693,0.6423076923076922,0.03599179074743602,0.2529411764705882,0.29021800496720135,0.5882352941176471,0.49117647058823527,7,0.4117647058823529,5328,11.732569641964217,11.655931005341568,56.45524783474791,11.661168797780924,11.711288779869127,11.68159731060412,11.777542165289368,126.67534553559722
32,32000,0.012121212121212121,0.06666666666666667,0.05152477985946608,0.3333333333333333,0.06666666666666667,0.08918948235971286,0.27222222222222225,0.29899121251185956,0.8888888888888888,0.5166666666666667,0.07817972946849845,0.24285714285714288,0.2636388649900891,0.8095238095238095,0.4523809523809524,15,0.7142857142857143,5328,11.712062071206342,11.656046598996877,56.6797774601141,11.661112575814606,11.717902639442855,11.671862324576752,11.84349646078057,126.9422601309321
33,33000,0.0024630541871921183,0.014285714285714287,0.011199752711239333,0.14285714285714285,0.023809523809523808,0.07126877072978499,0.195,0.1964977596831127,0.75,0.32666666666666666,0.05343025162614979,0.14814814814814814,0.14845753565336775,0.5925925925925926,0.24814814814814815,12,0.4444444444444444,5328,11.714535797228107,11.657137968201955,56.64549829018095,11.662128324070077,11.733599523090776,11.676112065224682,11.786695805108584,126.87570777310513
34,34000,0.01417718084384751,0.08333333333333333,0.11933844779467111,0.3333333333333333,0.3333333333333333,0.08706160081176055,0.23888888888888887,0.27107517758625066,0.8333333333333334,0.5252204585537918,0.06884049581978229,0.20000000000000004,0.23314099513835576,0.7083333333333334,0.47724867724867726,8,0.3333333333333333,5328,11.729620121588013,11.656518721971272,57.186014763932135,11.700332249410181,11.757614405192781,11.745422821448498,11.761570024799822,127.53709310834272
35,35000,0.017471091000502766,0.08,0.06869457372629362,0.6,0.12333333333333334,0.06994893433972994,0.14400000000000002,0.15679356945191647,0.6,0.32266666666666666,0.061202627116525424,0.13333333333333336,0.142110403497646,0.6,0.2894444444444444,13,0.43333333333333335,5328,11.731257277439004,11.693479240341107,56.823260029395705,11.658783534147615,11.743893339816006,11.677028873077408,11.801222718388523,127.12892501260538
36,36000,0.015873015873015872,0.03333333333333333,0.021206929399650572,0.3333333333333333,0.03333333333333333,0.06085428088411582,0.215,0.21446642979474553,0.75,0.3292857142857143,0.054987159360928885,0.19130434782608696,0.18925866887364617,0.6956521739130435,0.29068322981366457,5,0.21739130434782608,5328,11.71447743865319,11.658753811640173,57.330372769744294,11.662296163257938,11.72688375381762,11.67801928548054,11.689585990006142,127.46038921259989
37,37000,0.04942648814600035,0.15714285714285717,0.16311305492741188,0.5714285714285714,0.3537414965986394,0.08410159668248023,0.195,0.22526532004462912,0.65,0.42472222222222217,0.07511175372857803,0.18518518518518517,0.2091517698290543,0.6296296296296297,0.4063198118753674,11,0.4074074074074074,5328,11.695169534528711,11.655697890352451,56.88072192984797,11.660201399974097,11.694618679099731,11.674639062130183,11.717447285666468,126.97849578159962
38,38000,0.12247383086766028,0.09090909090909091,0.13649600400684025,0.5454545454545454,0.247979797979798,0.05654210534810483,0.20588235294117646,0.23872113921124097,0.8823529411764706,0.5565359477124183,0.08244385465935875,0.16071428571428573,0.198561264666655,0.75,0.43531746031746027,11,0.39285714285714285,5328,11.67878747375395,11.655321732993718,56.80208241764205,11.660358422915621,11.729445216952968,11.666262088623828,11.722632352766105,126.91488970564822
