batch,interactions,recall_existing,precision_existing,ndcg_existing,recall_new_user,precision_new_user,ndcg_new_user,recall_overall,precision_overall,ndcg_overall,pct_new_user,n_new_users,n_new_user_interactions,n_unique_users,window_unique_users,n_users_trained,n_first_time_new_user_interactions,n_untrained_users_active,pct_untrained_users,window_unique_untrained_users
46,46000,0.0206301772045716,0.0294117647058823,0.022808846218696,0.0926409709777335,0.1933333333333333,0.2242773131009167,0.0543852367857413,0.10625,0.117247190069737,0.21875,7,917,32,129,5328,682,15,0.46875,62
47,47000,0.0208333333333333,0.0125,0.0130410391056738,0.0433224740794958,0.3166666666666666,0.3331322552855796,0.0304715365102601,0.1428571428571428,0.1502229888970621,0.2142857142857142,6,853,28,149,5328,386,12,0.42857142857142855,69
48,48000,0.0441011698797165,0.0352941176470588,0.0493216749171049,0.0652185186375413,0.2136363636363636,0.2329360310023087,0.0560135204610536,0.1358974358974359,0.1528990039908096,0.282051282051282,11,829,39,179,5328,529,22,0.5641025641025641,86
49,49000,0.0335820895522388,0.04375,0.0675873728058792,0.0561500186153761,0.2428571428571428,0.2655051351850448,0.0441137897817028,0.1366666666666667,0.1599489952494898,0.1666666666666666,5,772,30,199,5328,189,14,0.4666666666666667,93
50,50000,0.1483400178253119,0.05,0.1124353345576848,0.0978466036558576,0.2909090909090909,0.3439292104123961,0.119106988569312,0.1894736842105263,0.2464581047893598,0.2631578947368421,5,653,19,210,5328,303,11,0.5789473684210527,100
51,51000,0.105055109297746,0.0499999999999999,0.0901993446123214,0.0655915525887958,0.2823529411764706,0.3137478031545233,0.0819213001924993,0.1862068965517241,0.2212449927232673,0.2758620689655172,8,878,29,228,5328,559,17,0.5862068965517241,111
52,52000,0.0068082788671023,0.0416666666666666,0.0355801729548769,0.0974006799065699,0.19375,0.2598901327269382,0.0585753651753695,0.1285714285714286,0.1637572928246262,0.1428571428571428,4,747,28,243,5328,406,16,0.5714285714285714,117
53,53000,0.0944444444444444,0.0333333333333333,0.0444650542861051,0.0372112737688897,0.2714285714285714,0.2429104582853261,0.0543812249715561,0.2,0.1833768370855599,0.25,5,904,20,255,5328,475,14,0.7,125
54,54000,0.0071428571428571,0.025,0.0265282957466143,0.0475477409465779,0.2833333333333333,0.2982954552425683,0.0313857874250896,0.18,0.1895885914441867,0.4,8,924,20,269,5328,651,12,0.6,133
55,55000,0.0404057017543859,0.03125,0.0673055697778837,0.0391035357304435,0.1692307692307692,0.1782424450036175,0.0398219721574462,0.093103448275862,0.1170358931549368,0.1724137931034483,5,740,29,288,5328,575,13,0.4482758620689655,138
56,56000,0.0158952781673679,0.04,0.0419819554293738,0.0571357043306556,0.3888888888888889,0.3720682495726105,0.0313604379786008,0.1708333333333333,0.1657643157330876,0.2916666666666667,7,865,24,304,5328,699,9,0.375,145
57,57000,0.0302887717521863,0.0722222222222222,0.0621718753479658,0.0623462529458714,0.25,0.2619273561787295,0.0443139197744236,0.15,0.1495648982114249,0.28125,9,712,32,325,5328,616,14,0.4375,154
58,58000,0.0505718954248365,0.0333333333333333,0.0446316598902373,0.0314057627958556,0.2,0.2176614364988185,0.0399240439642916,0.1259259259259259,0.1407593135616713,0.3703703703703703,10,795,27,344,5328,697,15,0.5555555555555556,164
59,59000,0.0555556735529973,0.0611111111111111,0.0872157309691015,0.0516861736870021,0.2111111111111111,0.2472910866918392,0.0542658402643323,0.1111111111111111,0.1405741828766807,0.1481481481481481,4,752,27,361,5328,646,9,0.3333333333333333,170
60,60000,0.0450707936217008,0.03125,0.0614052153999831,0.0379972394244023,0.1470588235294117,0.1631653841311574,0.0414268414594561,0.0909090909090909,0.1138271205039213,0.303030303030303,10,689,33,379,5328,286,17,0.5151515151515151,181
61,61000,0.0220445785151667,0.0599999999999999,0.0514486322448498,0.0606377812089971,0.29,0.2754196820557296,0.0374818595926988,0.152,0.1410370521692017,0.16,4,798,25,25,5328,590,10,0.4,10
62,62000,0.0711321287408243,0.0272727272727272,0.0842802239061345,0.0350979664994706,0.1857142857142857,0.187190314087588,0.0571188434247423,0.0888888888888888,0.1243008145322553,0.1944444444444444,7,755,36,58,5328,622,14,0.3888888888888889,23
63,63000,0.0541353383458646,0.0157894736842105,0.0266392980522065,0.1208126989639344,0.2615384615384615,0.3735111243869272,0.0812230160969555,0.115625,0.1675559775006868,0.21875,7,836,32,83,5328,593,13,0.40625,32
64,64000,0.0653777153777153,0.05,0.0714162826797946,0.0443584939124439,0.2416666666666667,0.2569376382958658,0.0579591666252666,0.1176470588235294,0.1368944081913492,0.2058823529411764,7,769,34,110,5328,674,12,0.35294117647058826,41
65,65000,0.0307161753590325,0.0583333333333333,0.058871154497177,0.0317143010640103,0.1733333333333333,0.1880605420049682,0.0312706896395757,0.1222222222222222,0.1306430364459499,0.2222222222222222,6,871,27,129,5328,381,15,0.5555555555555556,52
66,66000,0.0500974025974025,0.0166666666666666,0.0230702103768885,0.0392007725434691,0.1733333333333333,0.1895331953459882,0.0459063910381974,0.0769230769230769,0.0870944353650038,0.2051282051282051,8,621,39,161,5328,311,15,0.38461538461538464,63
67,67000,0.0210786435786435,0.06,0.0610780136138549,0.0387588259063276,0.325,0.3630858113034183,0.0289365023909476,0.1777777777777777,0.195303701475883,0.1666666666666666,3,732,18,173,5328,229,8,0.4444444444444444,67
68,68000,0.0250740331097473,0.09,0.099420995144049,0.0410004249704374,0.25,0.2762794427129876,0.0330372290400924,0.1699999999999999,0.1878502189285183,0.3,6,776,20,187,5328,566,10,0.5,74
69,69000,0.0081622146908673,0.0411764705882353,0.0314184341137957,0.0359369306411639,0.1692307692307692,0.1985788791445555,0.0201979249359958,0.0966666666666666,0.1038546269604583,0.1666666666666666,5,700,30,210,5328,266,13,0.43333333333333335,84
